cc,lon,lat,status,place,unit,unit_share,why,reviewed
hk,114.14682,22.36685,real,Hong Kong,R,0.041,"1 hexes, 1 at the cap. peak 13.3 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.00x the city's figure",2026-09-14 f95259a4-kontur
hk,114.16082,22.37150,real,Hong Kong,R,0.041,"1 hexes, 1 at the cap. peak 12.8 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.00x the city's figure",2026-09-14 f95259a4-kontur
hk,114.16279,22.38564,real,Hong Kong,R,0.041,"1 hexes, 1 at the cap. peak 14.6 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.00x the city's figure",2026-09-14 f95259a4-kontur
hk,114.17146,22.38403,real,Hong Kong,R,0.041,"1 hexes, 1 at the cap. peak 13.7 km from Hong Kong, where Kontur is 46,200/km2; block holds 0.00x the city's figure",2026-09-14 f95259a4-kontur
hk,114.17602,22.44847,real,Kowloon,P,0.141,"2 hexes, 1 at the cap. peak 18.8 km from Kowloon, where Kontur is 46,200/km2; block holds 0.02x the city's figure",2026-09-14 f95259a4-kontur
hk,114.17267,22.45634,real,Sha Tin,P,0.270,"3 hexes, 2 at the cap. peak 11.8 km from Sha Tin, where Kontur is 46,199/km2; block holds 0.13x the city's figure",2026-09-14 f95259a4-kontur
hk,114.15867,22.45170,real,Sha Tin,P,0.191,"3 hexes, 1 at the cap. peak 12.2 km from Sha Tin, where Kontur is 46,199/km2; block holds 0.09x the city's figure",2026-09-14 f95259a4-kontur
hk,114.14191,22.49109,real,Sha Tin,N,0.136,"3 hexes, 1 at the cap. peak 18.8 km from Sha Tin, where Kontur is 46,199/km2; block holds 0.11x the city's figure",2026-09-14 f95259a4-kontur
hk,114.13323,22.49270,real,Sha Tin,N,0.120,"2 hexes, 1 at the cap. peak 19.8 km from Sha Tin, where Kontur is 46,199/km2; block holds 0.09x the city's figure",2026-09-14 f95259a4-kontur
hk,113.97651,22.39118,real,Tin Shui Wai,L,0.235,"4 hexes, 3 at the cap. peak 8.3 km from Tin Shui Wai, where Kontur is 46,200/km2; block holds 0.42x the city's figure",2026-09-14 f95259a4-kontur
hk,114.00039,22.46662,real,Tin Shui Wai,M,0.145,"3 hexes, 3 at the cap. peak 1.0 km from Tin Shui Wai, where Kontur is 46,200/km2; block holds 0.35x the city's figure",2026-09-14 f95259a4-kontur
hk,114.00908,22.46501,real,Tin Shui Wai,M,0.145,"3 hexes, 3 at the cap. peak 0.6 km from Tin Shui Wai, where Kontur is 46,200/km2; block holds 0.35x the city's figure",2026-09-14 f95259a4-kontur
hk,113.96979,22.40695,real,Tin Shui Wai,L,0.140,"3 hexes, 1 at the cap. peak 6.0 km from Tin Shui Wai, where Kontur is 46,200/km2; block holds 0.25x the city's figure",2026-09-14 f95259a4-kontur
hk,114.00236,22.48076,real,Tin Shui Wai,M,0.076,"2 hexes, 1 at the cap. peak 2.9 km from Tin Shui Wai, where Kontur is 46,200/km2; block holds 0.18x the city's figure",2026-09-14 f95259a4-kontur
hk,114.02449,22.44763,real,Tin Shui Wai,M,0.073,"2 hexes, 1 at the cap. peak 3.6 km from Tin Shui Wai, where Kontur is 46,200/km2; block holds 0.17x the city's figure",2026-09-14 f95259a4-kontur
hk,114.12712,22.54459,real,Tin Shui Wai,N,0.066,"1 hexes, 1 at the cap. peak 11.0 km from Tin Shui Wai, where Kontur is 46,200/km2; block holds 0.12x the city's figure",2026-09-14 f95259a4-kontur
hk,113.96110,22.40855,real,Tin Shui Wai,L,0.065,"1 hexes, 1 at the cap. peak 5.7 km from Tin Shui Wai, where Kontur is 46,200/km2; block holds 0.12x the city's figure",2026-09-14 f95259a4-kontur
hk,113.97987,22.38330,real,Tin Shui Wai,L,0.065,"1 hexes, 1 at the cap. peak 9.5 km from Tin Shui Wai, where Kontur is 46,200/km2; block holds 0.12x the city's figure",2026-09-14 f95259a4-kontur
hk,114.00711,22.45086,real,Tin Shui Wai,M,0.048,"1 hexes, 1 at the cap. peak 1.6 km from Tin Shui Wai, where Kontur is 46,200/km2; block holds 0.12x the city's figure",2026-09-14 f95259a4-kontur
hk,114.06574,22.51977,real,Tin Shui Wai,M,0.048,"1 hexes, 1 at the cap. peak 6.8 km from Tin Shui Wai, where Kontur is 46,200/km2; block holds 0.12x the city's figure",2026-09-14 f95259a4-kontur
hk,113.93469,22.28265,real,Tsing Yi Town,T,0.224,"1 hexes, 1 at the cap. peak 13.6 km from Tsing Yi Town, where Kontur is 46,199/km2; block holds 0.17x the city's figure",2026-09-14 f95259a4-kontur
ht,-72.85411,18.42782,real,Petit-Goave,HT01,0.034,"8 hexes, 2 at the cap; Kontur puts 110,836 people within 1 km of the town centre, more than within 1 km of central Port-au-Prince (100,774). REVIEWED 2026-09-14 f95259a4-house: was capped; moved to the commune scale. The whole commune is high on every grid (Kontur 304,821, WorldPop 2020 292,091 and 292,951, against COD-PS 194,867), and the cap drew the town at farmland density while leaving the commune at 0.68x its share. countries.py::_HT_COMMUNE_LEVEL now scales the commune to its COD-PS share of Ouest and the block keeps Kontur's shape inside it (sources/ht.md §12.6)",2026-09-14 f95259a4-house
ht,-72.87353,18.83568,real,Anse a Galets,HT01,0.022,"5 hexes, 3 at the cap. peak 0.7 km from Anse a Galets, where Kontur is 46,200/km2; block holds 1.60x the city's figure. REVIEWED 2026-09-14 f95259a4-clht: the block is the town; what is false is the level of the whole commune (Kontur 273,795 against COD-PS 70,156, and both WorldPop 2020 rasters agree with Kontur). countries.py::_HT_COMMUNE_LEVEL scales the commune to its COD-PS share, which leaves the town about 37% of it; capping the block as well would draw the island's main town at farmland density (sources/ht.md §12)",2026-09-14 f95259a4-clht
ht,-72.36208,18.53206,real,Port-au-Prince,HT01,0.292,"86 hexes, 9 at the cap. peak 3.1 km from Port-au-Prince, where Kontur is 46,200/km2; block holds 1.36x the city's figure",2026-09-14 f95259a4-kontur
ht,-72.28643,18.50825,real,Port-au-Prince,HT01,0.008,"2 hexes, 1 at the cap. peak 4.7 km from Port-au-Prince, where Kontur is 46,200/km2; block holds 0.04x the city's figure",2026-09-14 f95259a4-kontur
ht,-72.27357,18.50228,real,Port-au-Prince,HT01,0.006,"1 hexes, 1 at the cap. peak 6.0 km from Port-au-Prince, where Kontur is 46,200/km2; block holds 0.03x the city's figure",2026-09-14 f95259a4-kontur
id,139.06435,-3.66841,capped,"Papua highlands, regency 9431010",9431010,0.767,"7 hexes, one at the cap, 77% of the regency; no town in worldcities within 20 km",2026-09-14 f95259a4-kontur
id,139.38563,-3.76982,capped,"Papua highlands, regency 9432040",9432040,0.700,"5 hexes peaking at 42,483/km2, below the cap, 70% of the regency; no town within 20 km. Registered so the fix reaches it; the guard alone would not",2026-09-14 f95259a4-kontur
iq,44.37766,33.66598,unreviewed,18 km from At Taji,IQG08,0.008,"3 hexes, 1 at the cap. peak 18.3 km from At Taji, where Kontur is 10,457/km2; block holds 0.35x the city's figure; under 5% of its unit, so not acted on",2026-09-14 f95259a4-kontur
iq,44.38601,33.66131,unreviewed,18 km from At Taji,IQG08,0.008,"3 hexes, 1 at the cap. peak 18.2 km from At Taji, where Kontur is 10,457/km2; block holds 0.34x the city's figure; under 5% of its unit, so not acted on",2026-09-14 f95259a4-kontur
ke,36.78661,-1.30918,real,Nairobi,047,0.027,"5 hexes, 2 at the cap. peak 4.3 km from Nairobi, where Kontur is 14,096/km2; block holds 0.03x the city's figure",2026-09-14 f95259a4-kontur
ke,36.92279,-1.21109,real,"Nairobi, Kasarani east",047,0.055,Nairobi's dense estates; worldcities' point is the CBD,2026-09-14 f95259a4-kontur
ke,36.75077,-1.27917,real,"Nairobi, Kawangware",047,0.084,Nairobi's dense estates; worldcities' point is the CBD,2026-09-14 f95259a4-kontur
ke,36.86745,-1.24518,real,"Nairobi, Mathare and Kasarani",047,0.509,"Nairobi's dense estates; worldcities' point is the CBD, where Kontur is 14,096/km2",2026-09-14 f95259a4-kontur
ke,36.84658,-1.21307,real,"Nairobi, north",047,0.021,Nairobi's dense estates; worldcities' point is the CBD,2026-09-14 f95259a4-kontur
kh,104.91917,11.56047,real,Phnom Penh,KH12,0.373,"40 hexes, 1 at the cap. peak 1.0 km from Phnom Penh, where Kontur is 46,200/km2; block holds 0.41x the city's figure",2026-09-14 f95259a4-kontur
mm,95.64724,16.73228,unreviewed,0 km from Maubin,MMR017,0.025,"6 hexes, 2 at the cap. peak 0.5 km from Maubin, where Kontur is 46,200/km2; block holds 3.13x the city's figure; under 5% of its unit, so not acted on",2026-09-14 f95259a4-kontur
mm,95.96262,17.31046,unreviewed,"MMR013, no city within 20 km",MMR013,0.013,"3 hexes, 1 at the cap. no city in worldcities within 20 km; under 5% of its unit, so not acted on",2026-09-14 f95259a4-kontur
mm,95.92996,16.71260,unreviewed,"MMR013, no city within 20 km",MMR013,0.010,"3 hexes, 1 at the cap. no city in worldcities within 20 km; under 5% of its unit, so not acted on",2026-09-14 f95259a4-kontur
